POPRES_ID	Source	Gender	Country_Self	Country_Mother	Country_Father	Country_MGF	Country_MGM	Country_PGF	Country_PGM	PrimaryLanguage	Wave	ContOrig	Region	Cluster	tagGPconsens	tagGPnodiscord	tagGP2_2	groups3	groups4	exRelated	exPCAout	FourGPequal	exNotEuro	exThinSwissUK	exMix
10208	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
10400	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
10514	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
10548	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
10966	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
11024	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
11174	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
11219	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
11555	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
11577	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
11635	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
11974	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
12009	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
12146	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
12271	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
12761	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
